kabupaten_kota,tahun,total_curah_hujan_mm,rata_rata_curah_hujan_mm
CIAMIS KOTA,2015,365,30.41666667
CIAMIS KOTA,2016,610,50.83333333
CIAMIS KOTA,2017,930.5,77.54166667
CIAMIS KOTA,2018,466,38.83333333
CIAMIS KOTA,2019,463,38.58333333
CIAMIS KOTA,2020,535,44.58333333
CIAMIS KOTA,2021,487,40.58333333
CIAMIS KOTA,2022,661,55.08333333
CIAMIS KOTA,2023,340,28.33333333
CIAMIS KOTA,2024,425,35.41666667
GUNUNG PUTRI II,2015,499,41.58333333
GUNUNG PUTRI II,2016,842,70.16666667
GUNUNG PUTRI II,2017,645,53.75
GUNUNG PUTRI II,2018,363,30.25
GUNUNG PUTRI II,2019,360,30
GUNUNG PUTRI II,2020,609,50.75
GUNUNG PUTRI II,2021,568,47.33333333
GUNUNG PUTRI II,2022,675,56.25
GUNUNG PUTRI II,2023,400,33.33333333
GUNUNG PUTRI II,2024,531,44.25
KALIPUCANG,2015,386,32.16666667
KALIPUCANG,2016,981,81.75
KALIPUCANG,2017,736,61.33333333
KALIPUCANG,2018,513,42.75
KALIPUCANG,2019,372,31
KALIPUCANG,2020,877,73.08333333
KALIPUCANG,2021,590,49.16666667
KALIPUCANG,2022,1175,97.91666667
KALIPUCANG,2023,759,63.25
KALIPUCANG,2024,456,38
