kode_kabupaten_kota,nama_kabupaten_kota,jumlah_banjir,tahun,jumlah_penduduk,jumlah_tanah_longsor
3201,KABUPATEN BOGOR,5,2015,5459670,16
3202,KABUPATEN SUKABUMI,6,2015,2434220,42
3203,KABUPATEN CIANJUR,3,2015,2243900,9
3204,KABUPATEN BANDUNG,11,2015,3534110,19
3205,KABUPATEN GARUT,5,2015,2548720,15
3206,KABUPATEN TASIKMALAYA,1,2015,1736000,4
3207,KABUPATEN CIAMIS,3,2015,1168680,6
3208,KABUPATEN KUNINGAN,3,2015,1055420,21
3209,KABUPATEN CIREBON,1,2015,2126180,1
3210,KABUPATEN MAJALENGKA,3,2015,1182110,12
3211,KABUPATEN SUMEDANG,3,2015,1137270,8
3212,KABUPATEN INDRAMAYU,1,2015,1691390,0
3213,KABUPATEN SUBANG,0,2015,1529390,1
3214,KABUPATEN PURWAKARTA,0,2015,921598,3
3215,KABUPATEN KARAWANG,0,2015,2273580,0
3216,KABUPATEN BEKASI,3,2015,3246010,0
3217,KABUPATEN BANDUNG BARAT,2,2015,1629420,7
3218,KABUPATEN PANGANDARAN,1,2015,390483,6
3271,KOTA BOGOR,0,2015,1047920,1
3272,KOTA SUKABUMI,0,2015,318117,0
3273,KOTA BANDUNG,2,2015,2481470,2
3274,KOTA CIREBON,1,2015,307494,0
3275,KOTA BEKASI,1,2015,2714820,0
3276,KOTA DEPOK,0,2015,2106100,0
3277,KOTA CIMAHI,0,2015,586580,0
3278,KOTA TASIKMALAYA,2,2015,657477,2
3279,KOTA BANJAR,0,2015,181425,3
3201,KABUPATEN BOGOR,18,2016,5587390,47
3202,KABUPATEN SUKABUMI,19,2016,2444620,53
3203,KABUPATEN CIANJUR,7,2016,2250980,12
3204,KABUPATEN BANDUNG,45,2016,3596620,31
3205,KABUPATEN GARUT,11,2016,2569500,21
3206,KABUPATEN TASIKMALAYA,8,2016,1742280,61
3207,KABUPATEN CIAMIS,5,2016,1175390,24
3208,KABUPATEN KUNINGAN,2,2016,1061890,73
3209,KABUPATEN CIREBON,0,2016,2143000,0
3210,KABUPATEN MAJALENGKA,6,2016,1188000,25
3211,KABUPATEN SUMEDANG,13,2016,1142100,28
3212,KABUPATEN INDRAMAYU,4,2016,1700810,0
3213,KABUPATEN SUBANG,1,2016,1546000,0
3214,KABUPATEN PURWAKARTA,0,2016,932701,1
3215,KABUPATEN KARAWANG,13,2016,2295780,1
3216,KABUPATEN BEKASI,12,2016,3371690,0
3217,KABUPATEN BANDUNG BARAT,3,2016,1648390,22
3218,KABUPATEN PANGANDARAN,6,2016,392817,11
3271,KOTA BOGOR,2,2016,1064690,18
3272,KOTA SUKABUMI,2,2016,321097,5
3273,KOTA BANDUNG,7,2016,2490620,3
3274,KOTA CIREBON,1,2016,310486,0
3275,KOTA BEKASI,9,2016,2787210,1
3276,KOTA DEPOK,1,2016,2179810,0
3277,KOTA CIMAHI,9,2016,594021,11
3278,KOTA TASIKMALAYA,6,2016,659606,14
3279,KOTA BANJAR,1,2016,181901,2
3201,KABUPATEN BOGOR,20,2017,5715010,68
3202,KABUPATEN SUKABUMI,19,2017,2453500,105
3203,KABUPATEN CIANJUR,5,2017,2256590,23
3204,KABUPATEN BANDUNG,30,2017,3657600,27
3205,KABUPATEN GARUT,4,2017,2588840,27
3206,KABUPATEN TASIKMALAYA,5,2017,1747320,38
3207,KABUPATEN CIAMIS,4,2017,1181980,29
3208,KABUPATEN KUNINGAN,4,2017,1068200,43
3209,KABUPATEN CIREBON,7,2017,2159580,4
