kode_kabupaten_kota,Wilayah,Banjir,Tahun,Penduduk,Longsor,Stasiun,Curah_Hujan,Cluster,PCA1,PCA2
3201,KABUPATEN BOGOR,5,2015,5403072.805,16,GUNUNG PUTRI II,499,2,1.319614409,-0.830392456
3202,KABUPATEN SUKABUMI,6,2015,2434220,42,GUNUNG PUTRI II,499,2,0.521699529,-0.37454394
3203,KABUPATEN CIANJUR,3,2015,2243900,9,GUNUNG PUTRI II,499,2,-0.431418101,-0.357736225
3204,KABUPATEN BANDUNG,11,2015,3534110,19,CIAMIS KOTA,365,2,0.991398373,-1.315190342
3205,KABUPATEN GARUT,5,2015,2548720,15,CIAMIS KOTA,365,2,-0.063153333,-1.205252281
3206,KABUPATEN TASIKMALAYA,1,2015,1736000,4,CIAMIS KOTA,365,2,-0.989233873,-1.105828364
3207,KABUPATEN CIAMIS,3,2015,1168680,6,CIAMIS KOTA,365,2,-1.035816415,-1.005152937
3208,KABUPATEN KUNINGAN,3,2015,1055420,21,CIAMIS KOTA,365,2,-0.814628043,-0.991760893
3209,KABUPATEN CIREBON,1,2015,2126180,1,CIAMIS KOTA,365,2,-0.865157308,-1.164920748
3210,KABUPATEN MAJALENGKA,3,2015,1182110,12,CIAMIS KOTA,365,2,-0.920443065,-1.008811537
3211,KABUPATEN SUMEDANG,3,2015,1137270,8,CIAMIS KOTA,365,2,-1.013793399,-1.000864021
3212,KABUPATEN INDRAMAYU,1,2015,1691390,0,CIAMIS KOTA,365,2,-1.082478875,-1.097916152
3213,KABUPATEN SUBANG,0,2015,1529390,1,GUNUNG PUTRI II,499,2,-1.169499931,-0.267122389
3214,KABUPATEN PURWAKARTA,0,2015,921598,3,GUNUNG PUTRI II,499,2,-1.411438566,-0.174361302
3215,KABUPATEN KARAWANG,0,2015,2273580,0,GUNUNG PUTRI II,499,2,-0.846892236,-0.381086177
3216,KABUPATEN BEKASI,3,2015,3246010,0,GUNUNG PUTRI II,499,2,-0.136323121,-0.509160093
3217,KABUPATEN BANDUNG BARAT,2,2015,1629420,7,CIAMIS KOTA,365,2,-0.895021414,-1.083204057
3218,KABUPATEN PANGANDARAN,1,2015,390483,6,KALIPUCANG,386,2,-1.560031553,-0.77237893
3271,KOTA BOGOR,0,2015,1047920,1,GUNUNG PUTRI II,499,2,-1.389995395,-0.193218804
3272,KOTA SUKABUMI,0,2015,318117,0,GUNUNG PUTRI II,499,2,-1.742422011,-0.080930975
3273,KOTA BANDUNG,2,2015,2481470,2,CIAMIS KOTA,365,2,-0.595833097,-1.212659125
3274,KOTA CIREBON,1,2015,307494,0,CIAMIS KOTA,365,2,-1.71625209,-0.885494038
